iter	Passed	Remaining
1343	2054	2531
1344	2056	2530
1345	2058	2528
1346	2059	2527
1347	2060	2525
1348	2062	2524
1349	2063	2522
1350	2065	2520
1351	2066	2519
1352	2068	2517
1353	2069	2516
1354	2071	2514
1355	2073	2513
1356	2074	2511
1357	2076	2510
1358	2077	2508
1359	2079	2507
1360	2080	2505
1361	2081	2503
1362	2083	2502
1363	2084	2500
1364	2086	2498
1365	2088	2497
1366	2089	2496
1367	2091	2494
1368	2092	2493
1369	2094	2491
1370	2095	2489
1371	2096	2488
1372	2098	2486
1373	2099	2484
1374	2101	2483
1375	2102	2481
1376	2104	2480
1377	2106	2479
1378	2107	2477
1379	2108	2475
1380	2110	2474
1381	2111	2472
1382	2113	2470
1383	2114	2469
1384	2116	2467
1385	2117	2465
1386	2119	2464
1387	2121	2463
1388	2122	2461
1389	2123	2460
1390	2125	2458
1391	2126	2456
1392	2128	2455
1393	2129	2453
1394	2131	2452
1395	2132	2450
1396	2134	2449
1397	2136	2447
1398	2137	2446
1399	2139	2444
1400	2140	2443
1401	2142	2441
1402	2143	2439
1403	2144	2438
1404	2146	2436
1405	2148	2435
1406	2149	2434
1407	2151	2432
1408	2153	2431
1409	2155	2430
1410	2156	2428
1411	2158	2427
1412	2160	2425
1413	2161	2424
1414	2163	2423
1415	2164	2421
1416	2166	2420
1417	2168	2419
1418	2170	2418
1419	2171	2416
1420	2173	2415
1421	2174	2413
1422	2176	2412
1423	2178	2411
1424	2180	2409
1425	2182	2408
1426	2183	2407
1427	2185	2406
1428	2187	2404
1429	2189	2403
1430	2191	2402
1431	2192	2400
1432	2194	2399
1433	2195	2397
1434	2197	2396
1435	2199	2395
1436	2201	2394
1437	2203	2393
1438	2204	2391
1439	2206	2390
1440	2208	2389
1441	2209	2387
1442	2211	2386
1443	2214	2385
1444	2216	2384
1445	2218	2383
1446	2220	2382
1447	2222	2381
1448	2224	2380
1449	2226	2379
1450	2227	2378
1451	2229	2377
1452	2231	2375
1453	2233	2374
1454	2234	2372
1455	2236	2371
1456	2237	2370
1457	2239	2368
1458	2241	2367
1459	2242	2365
1460	2244	2364
1461	2246	2363
1462	2248	2361
1463	2249	2360
1464	2251	2359
1465	2253	2357
